company_id,employee_count,follower_count,time_recorded
391906,186,32508,2024-04-05 19:42:53
22292832,311,4471,2024-04-05 19:42:53
20300,1053,6554,2024-04-05 19:42:53
3570660,383,35241,2024-04-05 19:42:53
878353,52,26397,2024-04-05 19:42:53
729238,268,41433,2024-04-05 19:42:53
766849,24,68011,2024-04-05 19:42:53
12828,2659,43975,2024-04-05 19:42:53
2934678,331,121007,2024-04-05 19:42:53
15984730,481,50359,2024-04-05 19:42:53
34771607,3,181,2024-04-05 19:42:53
947812,102,2831,2024-04-05 19:42:53
6618000,11,7478,2024-04-05 19:42:53
5887,1426,975931,2024-04-05 19:42:53
34214892,79,828,2024-04-05 19:42:53
16239240,20862,652495,2024-04-05 19:42:53
75056372,120,64456,2024-04-05 19:42:53
23656,622,266464,2024-04-05 19:42:53
33218,191,36335,2024-04-05 19:42:53
1712844,419,10639,2024-04-05 19:42:53
11056,14122,2371805,2024-04-05 19:42:53
24440,6335,978368,2024-04-05 19:44:08
4592,17827,553183,2024-04-05 19:44:08
33671,4668,84754,2024-04-05 19:44:08
11676886,0,7,2024-04-05 19:44:08
7164053,108,2036,2024-04-05 19:44:08
14158,450,148678,2024-04-05 19:44:08
366025,18719,72339,2024-04-05 19:44:08
18306,9745,83680,2024-04-05 19:44:08
6213,3857,72351,2024-04-05 19:44:08
349088,744,10689,2024-04-05 19:44:08
3556531,64,1781,2024-04-05 19:44:08
4433,3453,631049,2024-04-05 19:44:08
4787,13125,1504572,2024-04-05 19:44:08
65294553,72,68800,2024-04-05 19:44:08
90869,17,9909,2024-04-05 19:44:08
7790573,16,233,2024-04-05 19:44:08
74827,61,70835,2024-04-05 19:45:23
5396873,161,108038,2024-04-05 19:45:23
99410085,0,53,2024-04-05 19:45:23
261933,205,49801,2024-04-05 19:45:23
164376,6700,382469,2024-04-05 19:45:23
36226,163,3217,2024-04-05 19:45:23
50861,621,142004,2024-04-05 19:45:23
1054905,1999,31330,2024-04-05 19:45:23
18939015,0,927,2024-04-05 19:45:23
2855513,1082,178948,2024-04-05 19:45:23
649827,430,477423,2024-04-05 19:45:23
4015761,187,750,2024-04-05 19:45:23
24803,130,60572,2024-04-05 19:45:23
13345578,279,85916,2024-04-05 19:45:23
98504846,36,253,2024-04-05 19:45:23
56833,1623,131657,2024-04-05 19:46:37
1705516,101,4989,2024-04-05 19:46:37
203227,42,5599,2024-04-05 19:46:37
33279976,5,18278,2024-04-05 19:46:37
3345041,37,23212,2024-04-05 19:46:37
54077952,74,686,2024-04-05 19:46:37
27021761,7,6075,2024-04-05 19:46:37
5304844,65,2832,2024-04-05 19:46:37
63155,600,1898,2024-04-05 19:46:37
356432,285,3487,2024-04-05 19:46:37
30104,88,27403,2024-04-05 19:46:37
4674,18227,141951,2024-04-05 19:46:37
8913985,56,752,2024-04-05 19:46:37
15457223,50,2681,2024-04-05 19:46:37
397597,119,12208,2024-04-05 19:46:37
5117988,3,918,2024-04-05 19:46:37
53255,105,71020,2024-04-05 19:46:37
970538,1011,1286383,2024-04-05 19:46:37
9372063,140,238138,2024-04-05 19:46:37
