salary_id,job_id,pay_period,currency,compensation_type,standardized_max_salary,standardized_min_salary,standardized_med_salary,currency_encoded,compensation_type_encoded
1,3884428798,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
2,3887470552,HOURLY,USD,BASE_SALARY,52000.0,47840.0,52000.0,5,0
3,3884431523,YEARLY,USD,BASE_SALARY,120000.0,100000.0,100000.0,5,0
4,3884911725,YEARLY,USD,BASE_SALARY,200000.0,10000.0,63918.309907429066,5,0
5,3887473220,HOURLY,USD,BASE_SALARY,72800.0,68640.0,68640.0,5,0
6,3884432468,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
7,3884915161,YEARLY,USD,BASE_SALARY,80000.0,50000.0,63918.309907429066,5,0
8,3884428983,YEARLY,USD,BASE_SALARY,101000.0,84000.0,84000.0,5,0
9,3884433248,HOURLY,USD,BASE_SALARY,114400.0,104000.0,104000.0,5,0
10,3884429625,YEARLY,USD,BASE_SALARY,100000.0,72000.0,72000.0,5,0
11,3884435029,YEARLY,USD,BASE_SALARY,24.0,20.0,24.0,5,0
12,3887468966,YEARLY,USD,BASE_SALARY,100000.0,95000.0,95000.0,5,0
13,3887473087,YEARLY,USD,BASE_SALARY,80000.0,75000.0,75000.0,5,0
14,3887466954,YEARLY,USD,BASE_SALARY,160000.0,110000.0,110000.0,5,0
15,3884428729,YEARLY,USD,BASE_SALARY,67000.0,50400.0,63918.309907429066,5,0
16,3884427990,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
17,3884432493,HOURLY,USD,BASE_SALARY,38334.4,38334.4,38334.4,5,0
18,3887467990,HOURLY,USD,BASE_SALARY,166400.0,124800.0,124800.0,5,0
19,3884912432,HOURLY,USD,BASE_SALARY,79040.0,66560.0,66560.0,5,0
20,3884435030,YEARLY,USD,BASE_SALARY,48000.0,43000.0,48000.0,5,0
21,3884434034,YEARLY,USD,BASE_SALARY,110000.0,60000.0,63918.309907429066,5,0
22,3884432469,HOURLY,USD,BASE_SALARY,73840.0,58240.0,63918.309907429066,5,0
23,3884917012,YEARLY,USD,BASE_SALARY,190000.0,180000.0,180000.0,5,0
24,3884432498,YEARLY,USD,BASE_SALARY,100000.0,85000.0,85000.0,5,0
25,3884431563,YEARLY,USD,BASE_SALARY,55000.0,45000.0,55000.0,5,0
26,3884435023,YEARLY,USD,BASE_SALARY,115000.0,110000.0,110000.0,5,0
27,3884915177,HOURLY,USD,BASE_SALARY,106080.0,93600.0,93600.0,5,0
28,3884910870,YEARLY,USD,BASE_SALARY,100000.0,50000.0,63918.309907429066,5,0
29,3884430607,YEARLY,USD,BASE_SALARY,150000.0,130000.0,130000.0,5,0
30,3884913450,YEARLY,USD,BASE_SALARY,135000.0,90000.0,90000.0,5,0
31,3887472403,YEARLY,USD,BASE_SALARY,210000.0,150000.0,150000.0,5,0
32,3887473240,HOURLY,USD,BASE_SALARY,45760.0,45760.0,45760.0,5,0
33,3887471201,YEARLY,USD,BASE_SALARY,56000.0,49000.0,56000.0,5,0
34,3887476201,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
35,3887469942,YEARLY,USD,BASE_SALARY,100000.0,70000.0,70000.0,5,0
36,3884433292,YEARLY,USD,BASE_SALARY,115000.0,85000.0,85000.0,5,0
37,3884425974,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
38,3887469932,YEARLY,USD,BASE_SALARY,163000.0,112000.0,112000.0,5,0
39,3884434097,HOURLY,USD,BASE_SALARY,62400.0,52000.0,62400.0,5,0
40,3884430583,YEARLY,USD,BASE_SALARY,100000.0,72000.0,72000.0,5,0
41,3884430608,YEARLY,USD,BASE_SALARY,75000.0,65000.0,65000.0,5,0
42,3887464859,YEARLY,USD,BASE_SALARY,130000.0,120000.0,120000.0,5,0
43,3884429657,HOURLY,USD,BASE_SALARY,58240.0,47840.0,58240.0,5,0
44,3884430610,YEARLY,USD,BASE_SALARY,130000.0,90000.0,90000.0,5,0
45,3887471276,YEARLY,USD,BASE_SALARY,63700.0,41715.0,63700.0,5,0
46,3884431637,YEARLY,USD,BASE_SALARY,75000.0,50000.0,63918.309907429066,5,0
47,3884915296,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
48,3887476076,HOURLY,USD,BASE_SALARY,104000.0,93600.0,93600.0,5,0
49,3887475133,YEARLY,USD,BASE_SALARY,72000.0,65000.0,65000.0,5,0
50,3884436034,HOURLY,USD,BASE_SALARY,141440.0,141440.0,141440.0,5,0
51,3884432491,HOURLY,USD,BASE_SALARY,58905.6,57012.8,58905.6,5,0
52,3887469999,YEARLY,USD,BASE_SALARY,65000.0,45000.0,63918.309907429066,5,0
53,3884911832,YEARLY,USD,BASE_SALARY,175000.0,160000.0,160000.0,5,0
54,3887474295,HOURLY,USD,BASE_SALARY,135200.0,124800.0,124800.0,5,0
55,3887467924,HOURLY,USD,BASE_SALARY,189696.0,140296.0,140296.0,5,0
56,3887468967,HOURLY,USD,BASE_SALARY,52000.0,41600.0,52000.0,5,0
57,3887470539,YEARLY,USD,BASE_SALARY,104000.0,56000.0,63918.309907429066,5,0
58,3884429634,YEARLY,USD,BASE_SALARY,115000.0,95000.0,95000.0,5,0
59,3887475285,YEARLY,USD,BASE_SALARY,90000.0,60000.0,63918.309907429066,5,0
60,3884433244,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
61,3887470497,YEARLY,USD,BASE_SALARY,100000.0,90000.0,90000.0,5,0
62,3887471567,YEARLY,USD,BASE_SALARY,175000.0,125000.0,125000.0,5,0
63,3884434095,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
64,3884912315,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
65,3884433143,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
66,3887475355,YEARLY,USD,BASE_SALARY,400000.0,250000.0,250000.0,5,0
67,3887468932,YEARLY,USD,BASE_SALARY,160000.0,110000.0,110000.0,5,0
68,3884430130,HOURLY,USD,BASE_SALARY,72800.0,62400.0,63918.309907429066,5,0
69,3884912691,HOURLY,USD,BASE_SALARY,47840.0,39520.0,47840.0,5,0
70,3884428699,YEARLY,USD,BASE_SALARY,300000.0,90000.0,90000.0,5,0
71,3887466984,YEARLY,USD,BASE_SALARY,161400.0,87000.0,87000.0,5,0
72,3884434103,YEARLY,USD,BASE_SALARY,120000.0,90000.0,90000.0,5,0
73,3884432572,HOURLY,USD,BASE_SALARY,45760.0,41600.0,45760.0,5,0
74,3884434114,HOURLY,USD,BASE_SALARY,228800.0,197600.0,197600.0,5,0
75,3884436148,YEARLY,USD,BASE_SALARY,140.0,110.0,140.0,5,0
76,3884916322,HOURLY,USD,BASE_SALARY,64480.0,62400.0,63918.309907429066,5,0
