industry_id,industry_name,cluster
1,Defense and Space Manufacturing,Aerospace and Defense
3,Computer Hardware Manufacturing,Hardware and Electronics
4,Software Development,Software and IT Services
5,Computer Networking Products,Software and IT Services
6,"Technology, Information and Internet",Miscellaneous and Other Services
7,Semiconductor Manufacturing,Hardware and Electronics
8,Telecommunications,Telecommunications and Networking
9,Law Practice,Legal and Law Enforcement
10,Legal Services,Legal and Law Enforcement
11,Business Consulting and Services,Miscellaneous and Other Services
12,Biotechnology Research,Healthcare and Biotechnology
13,Medical Practices,Miscellaneous and Other Services
14,Hospitals and Health Care,Healthcare and Biotechnology
15,Pharmaceutical Manufacturing,Healthcare and Biotechnology
16,Veterinary Services,Healthcare and Biotechnology
17,Medical Equipment Manufacturing,Healthcare and Biotechnology
18,Personal Care Product Manufacturing,Personal Care and Wellness
19,Retail Apparel and Fashion,Retail and Consumer Goods
20,Sporting Goods Manufacturing,Retail and Consumer Goods
21,Tobacco Manufacturing,Miscellaneous and Other Services
22,Retail Groceries,Food and Beverage
23,Food and Beverage Manufacturing,Food and Beverage
24,Computers and Electronics Manufacturing,Miscellaneous and Other Services
25,Manufacturing,Miscellaneous and Other Services
26,Furniture and Home Furnishings Manufacturing,Miscellaneous and Other Services
27,Retail,Miscellaneous and Other Services
28,Entertainment Providers,Miscellaneous and Other Services
29,Gambling Facilities and Casinos,Miscellaneous and Other Services
30,Travel Arrangements,Hospitality and Travel
31,Hospitality,Hospitality and Travel
32,Restaurants,Hospitality and Travel
33,Spectator Sports,Sports and Recreation
34,Food and Beverage Services,Miscellaneous and Other Services
35,"Movies, Videos, and Sound",Media and Entertainment
36,Broadcast Media Production and Distribution,Miscellaneous and Other Services
37,"Museums, Historical Sites, and Zoos",Miscellaneous and Other Services
38,Artists and Writers,Creative Arts and Design
39,Performing Arts,Media and Entertainment
40,Recreational Facilities,Sports and Recreation
41,Banking,Finance and Banking
42,Insurance,Finance and Banking
43,Financial Services,Finance and Banking
44,Real Estate,Real Estate and Construction
45,Investment Banking,Miscellaneous and Other Services
46,Investment Management,Finance and Banking
47,Accounting,Miscellaneous and Other Services
48,Construction,Miscellaneous and Other Services
49,Wholesale Building Materials,Miscellaneous and Other Services
50,Architecture and Planning,Real Estate and Construction
51,Civil Engineering,Miscellaneous and Other Services
52,Aviation and Aerospace Component Manufacturing,Aerospace and Defense
53,Motor Vehicle Manufacturing,Miscellaneous and Other Services
54,Chemical Manufacturing,Manufacturing and Industry
55,Machinery Manufacturing,Miscellaneous and Other Services
56,Mining,Miscellaneous and Other Services
57,Oil and Gas,Energy and Utilities
58,Shipbuilding,Miscellaneous and Other Services
59,Utilities,Miscellaneous and Other Services
60,Textile Manufacturing,Manufacturing and Industry
61,Paper and Forest Product Manufacturing,Miscellaneous and Other Services
62,Railroad Equipment Manufacturing,Miscellaneous and Other Services
63,Farming,Agriculture and Farming
65,Dairy Product Manufacturing,Agriculture and Farming
